month_year,jobs_posted,growth_rate_pct,avg_hourly_rate
2023-11,1,0.0,37.5
2023-12,10,900.0,25.55
2024-01,96,860.0,22.630208333333332
2024-02,101887,106032.29166666667,25.586541953340465
2024-03,142834,40.188640356473336,25.27579217833289
